"Compensation","Name","Position","Date","Year","College"
556834,"Audrey Bilger ","President",2022-06-01,2022,"Reed College"
379400,"Hugh Porter ","Vice President For College Relations And Planning",2022-06-01,2022,"Reed College"
333594,"Erik Bernhardt ","Chief Investment Officer",2022-06-01,2022,"Reed College"
291550,"Lorraine Arvin ","Vp And Treasurer",2022-06-01,2022,"Reed College"
223125,"Kathryn Oleson ","Dean Of The Faculty",2022-06-01,2022,"Reed College"
221492,"Mary James ","Aa Knowlton Professor Of Physics",2022-06-01,2022,"Reed College"
217756,"Nigel J Nicholson ","Walter Mintz Professor Of Greek, Latin, And Ancient Mediterranean Studies And Humanities",2022-06-01,2022,"Reed College"
217747,"Milyon Trulove ","Vice President And Dean Of Admission And Financial Aid",2022-06-01,2022,"Reed College"
203788,"Karnell Mcconnell-Black ","Vice President For Student Life",2022-06-01,2022,"Reed College"
187837,"Amanda Heaton ","Executive Director Of Communications And Public Affairs",2022-06-01,2022,"Reed College"
181450,"Robert Tust ","Associate Treasurer And Controller",2022-06-01,2022,"Reed College"
152045,"Lynn Valenter ","Vice President Of Finance And Treasurer",2022-06-01,2022,"Reed College"
0,"Dr Julia P Adams '80 ","Trustee",2022-06-01,2022,"Reed College"
0,"Konrad S Alt '81 ","Trustee",2022-06-01,2022,"Reed College"
0,"Dr Michael S Axley '89 ","Trustee",2022-06-01,2022,"Reed College"
0,"Carla J Beam '76 ","Trustee",2022-06-01,2022,"Reed College"
0,"Peter J Bragdon ","Trustee",2022-06-01,2022,"Reed College"
0,"M Jane Buchan ","Trustee",2022-06-01,2022,"Reed College"
0,"Thomas O Daniel Md ","Trustee",2022-06-01,2022,"Reed College"
0,"Kurt Delbene ","Trustee Through 12/2021",2022-06-01,2022,"Reed College"
0,"Nicholas Galakatos '79 ","Trustee",2022-06-01,2022,"Reed College"
0,"Edward Hall '87 ","Trustee",2022-06-01,2022,"Reed College"
0,"Dr Dennis James Henner ","Trustee Through 4/2022",2022-06-01,2022,"Reed College"
0,"Linda G Howard '70 ","Trustee",2022-06-01,2022,"Reed College"
0,"George M James '77 ","Trustee",2022-06-01,2022,"Reed College"
548014,"Audrey Bilger ","President",2021-06-01,2021,"Reed College"
489316,"Hugh Porter ","Vice President, College Relations",2021-06-01,2021,"Reed College"
457650,"Michael Brody ","Vp & Dean Of Student Services",2021-06-01,2021,"Reed College"
430875,"Lorraine Arvin ","Vp And Treasurer",2021-06-01,2021,"Reed College"
341312,"Nigel J Nicholson ","Dean Of The Faculty",2021-06-01,2021,"Reed College"
339900,"Erik Bernhardt ","Chief Investment Officer",2021-06-01,2021,"Reed College"
266920,"Milyon Trulove ","Vp And Dean Of Admission And Financial Aid",2021-06-01,2021,"Reed College"
244260,"Mary James ","Dean For Institutional Diversity And Aa Knowlton Professor Of Physics",2021-06-01,2021,"Reed College"
191621,"Martin Ringle ","Chief Information Officer",2021-06-01,2021,"Reed College"
184785,"Amanda Heaton ","Executive Director Of Communications And Public Affairs",2021-06-01,2021,"Reed College"
183070,"Kathryn Oleson ","Dean Of The Faculty",2021-06-01,2021,"Reed College"
178550,"Sarah Panetta ","Executive Director Of Development",2021-06-01,2021,"Reed College"
90733,"Karnell Mcconnell-Black ","Vice President For Student Life",2021-06-01,2021,"Reed College"
0,"Dr Julia P Adams '80 ","Trustee",2021-06-01,2021,"Reed College"
0,"Konrad S Alt '81 ","Trustee",2021-06-01,2021,"Reed College"
0,"M Jane Buchan ","Trustee",2021-06-01,2021,"Reed College"
0,"C Morris Copeland '82 ","Trustee",2021-06-01,2021,"Reed College"
0,"Thomas O Daniel Md ","Trustee",2021-06-01,2021,"Reed College"
0,"Kurt D Delbene ","Trustee",2021-06-01,2021,"Reed College"
0,"Nicholas Galakatos '79 ","Trustee",2021-06-01,2021,"Reed College"
0,"Daniel B Greenberg '62 ","Trustee",2021-06-01,2021,"Reed College"
0,"Edward Hall '87 ","Trustee",2021-06-01,2021,"Reed College"
0,"Dennis Henner ","Trustee",2021-06-01,2021,"Reed College"
0,"Linda G Howard '70 ","Trustee",2021-06-01,2021,"Reed College"
0,"George M James '77 ","Trustee",2021-06-01,2021,"Reed College"
435935,"Hugh Porter ","Vice President, College Relations",2020-06-01,2020,"Reed College"
363661,"Lorraine Arvin ","Vp And Treasurer",2020-06-01,2020,"Reed College"
304592,"Audrey Bilger ","President",2020-06-01,2020,"Reed College"
245833,"Nigel J Nicholson ","Dean Of The Faculty",2020-06-01,2020,"Reed College"
235141,"Michael Brody ","Vp & Dean Of Student Services",2020-06-01,2020,"Reed College"
196234,"Milyon Trulove ","Vp And Dean Of Admission And Financial Aid",2020-06-01,2020,"Reed College"
179785,"Myron Angell ","Director Of Facilities Operations",2020-06-01,2020,"Reed College"
178405,"Mary James ","Dean For Institutional Diversity And Aa Knowlton Professor Of Physics",2020-06-01,2020,"Reed College"
177848,"Amanda Heaton ","Executive Director Of Communications And Public Affairs",2020-06-01,2020,"Reed College"
177289,"Martin Ringle ","Chief Information Officer",2020-06-01,2020,"Reed College"
175739,"Mark Bedau ","Professor Of Philosophy And Humanities",2020-06-01,2020,"Reed College"
125968,"John R Kroger ","President-Former",2020-06-01,2020,"Reed College"
0,"Dr Julia P Adams '80 ","Trustee",2020-06-01,2020,"Reed College"
0,"Konrad S Alt '81 ","Trustee",2020-06-01,2020,"Reed College"
0,"Timothy P Boyle ","Trustee",2020-06-01,2020,"Reed College"
0,"M Jane Buchan ","Trustee",2020-06-01,2020,"Reed College"
0,"C Morris Copeland '82 ","Trustee",2020-06-01,2020,"Reed College"
0,"Thomas O Daniel Md ","Trustee",2020-06-01,2020,"Reed College"
0,"Richard J Danzig '65 ","Trustee",2020-06-01,2020,"Reed College"
0,"Kurt D Delbene ","Trustee",2020-06-01,2020,"Reed College"
0,"Nicholas Galakatos '79 ","Trustee",2020-06-01,2020,"Reed College"
0,"Daniel B Greenberg '62 ","Trustee",2020-06-01,2020,"Reed College"
0,"Edward Hall '87 ","Trustee",2020-06-01,2020,"Reed College"
0,"Dennis Henner ","Trustee",2020-06-01,2020,"Reed College"
0,"Linda G Howard '70 ","Trustee",2020-06-01,2020,"Reed College"
461831,"John R Kroger ","President-Former",2019-06-01,2019,"Reed College"
354132,"Hugh Porter ","Acting President",2019-06-01,2019,"Reed College"
319926,"Lorraine Arvin ","Vp And Treasurer",2019-06-01,2019,"Reed College"
233915,"Nigel J Nicholson ","Dean Of The Faculty",2019-06-01,2019,"Reed College"
224923,"Michael Brody ","Vp & Dean Of Student Services",2019-06-01,2019,"Reed College"
192009,"Milyon Trulove ","Vp And Dean Of Admission And Financial Aid",2019-06-01,2019,"Reed College"
171046,"Amanda Heaton ","Executive Director Of Communications And Public Affairs",2019-06-01,2019,"Reed College"
170795,"Mary James ","Dean For Institutional Diversity And Aa Knowlton Professor Of Physics",2019-06-01,2019,"Reed College"
170197,"Myron Angell ","Director Of Facilities Operations",2019-06-01,2019,"Reed College"
166411,"Martin Ringle ","Chief Information Officer",2019-06-01,2019,"Reed College"
158107,"Robert Tust ","Associate Treasurer & Controller",2019-06-01,2019,"Reed College"
0,"Dr Julia P Adams '80 ","Trustee",2019-06-01,2019,"Reed College"
0,"Konrad S Alt '81 ","Trustee",2019-06-01,2019,"Reed College"
0,"Stephen E Babson ","Trustee",2019-06-01,2019,"Reed College"
0,"Matthew P Bergman '84 ","Trustee",2019-06-01,2019,"Reed College"
0,"Timothy P Boyle ","Trustee",2019-06-01,2019,"Reed College"
0,"M Jane Buchan ","Trustee",2019-06-01,2019,"Reed College"
0,"C Morris Copeland '82 ","Trustee",2019-06-01,2019,"Reed College"
0,"Thomas O Daniel Md ","Trustee",2019-06-01,2019,"Reed College"
0,"Richard J Danzig '65 ","Trustee",2019-06-01,2019,"Reed College"
0,"Kurt D Delbene ","Trustee",2019-06-01,2019,"Reed College"
0,"Scott E Foster '77 ","Trustee",2019-06-01,2019,"Reed College"
0,"Nicholas Galakatos '79 ","Trustee",2019-06-01,2019,"Reed College"
0,"Daniel B Greenberg '62 ","Trustee",2019-06-01,2019,"Reed College"
0,"Edward Hall '87 ","Trustee",2019-06-01,2019,"Reed College"
452864,"John R Kroger ","President",2018-06-01,2018,"Reed College"
309530,"Hugh Porter ","Vp/College Relations",2018-06-01,2018,"Reed College"
307365,"Lorraine Arvin ","Vp And Treasurer",2018-06-01,2018,"Reed College"
225596,"Nigel J Nicholson ","Dean Of The Faculty",2018-06-01,2018,"Reed College"
214343,"Michael Brody ","Vp & Dean Of Student Services",2018-06-01,2018,"Reed College"
184621,"Milyon Trulove ","Vp And Dean Of Admission And Financial Aid",2018-06-01,2018,"Reed College"
166151,"Amanda Heaton ","Executive Director Of Communications And Public Affairs",2018-06-01,2018,"Reed College"
164807,"Myron Angell ","Director Of Facilities Operations",2018-06-01,2018,"Reed College"
163171,"Martin Ringle ","Chief Information Officer",2018-06-01,2018,"Reed College"
154678,"Mary James ","Dean For Institutional Diversity And Aa Knowlton Professor Of Physics",2018-06-01,2018,"Reed College"
152259,"Christine Pearson ","Director Of Principal Gifts",2018-06-01,2018,"Reed College"
0,"Dr Julia P Adams '80 ","Trustee",2018-06-01,2018,"Reed College"
0,"Konrad S Alt '81 ","Trustee",2018-06-01,2018,"Reed College"
0,"Stephen E Babson ","Trustee",2018-06-01,2018,"Reed College"
0,"Matthew P Bergman '84 ","Trustee",2018-06-01,2018,"Reed College"
0,"Timothy P Boyle ","Trustee",2018-06-01,2018,"Reed College"
0,"M Jane Buchan ","Trustee",2018-06-01,2018,"Reed College"
0,"C Morris Copeland '82 ","Trustee",2018-06-01,2018,"Reed College"
0,"Thomas O Daniel Md ","Trustee",2018-06-01,2018,"Reed College"
0,"Richard J Danzig '65 ","Trustee",2018-06-01,2018,"Reed College"
0,"Kurt D Delbene ","Trustee",2018-06-01,2018,"Reed College"
0,"Scott E Foster '77 ","Trustee",2018-06-01,2018,"Reed College"
0,"Nicholas Galakatos '79 ","Trustee",2018-06-01,2018,"Reed College"
0,"Daniel B Greenberg '62 ","Trustee",2018-06-01,2018,"Reed College"
0,"Edward Hall '87 ","Trustee",2018-06-01,2018,"Reed College"
433782,"John R Kroger ","President",2017-06-01,2017,"Reed College"
299447,"Hugh Porter ","Vp/College Relations",2017-06-01,2017,"Reed College"
290732,"Lorraine Arvin ","Vp And Treasurer",2017-06-01,2017,"Reed College"
215232,"Nigel J Nicholson ","Dean Of The Faculty",2017-06-01,2017,"Reed College"
202271,"Michael Brody ","Vp & Dean Of Student Services",2017-06-01,2017,"Reed College"
176803,"Milyon Trulove ","Vp And Dean Of Admission And Financial Aid",2017-06-01,2017,"Reed College"
172458,"Martin Ringle ","Chief Tech Officer",2017-06-01,2017,"Reed College"
166598,"James Pommersheim ","Professor",2017-06-01,2017,"Reed College"
166301,"Jan E Kurtz ","Director Of Development",2017-06-01,2017,"Reed College"
161364,"Amanda Heaton ","Executive Director Of Communications And Public Affairs",2017-06-01,2017,"Reed College"
159233,"Myron Angell ","Director Of Facilities Operations",2017-06-01,2017,"Reed College"
0,"Konrad S Alt '81 ","Trustee",2017-06-01,2017,"Reed College"
0,"Stephen E Babson ","Trustee",2017-06-01,2017,"Reed College"
